No,Name,Country,Age,Role,T20_Caps,IPL_Matches,2024_Team,Status,Reserve_Price_Lakh,battingStyle,bowlingStyle,image,matches,runs,wickets,average,strikeRate
170,Sherfane Rutherford,WI,26,BAT/SEAM,28,10,KKR,CAPPED,50,,,,,,,
171,Rashid Khan,AFG,26,SPIN/BAT,96,121,GT,CAPPED,200,,,,,,,
172,Gerald Coetzee,SA,24,SEAM,10,10,MI,CAPPED,150,,,,,,,
173,David Miller,SA,35,BAT,130,130,GT,CAPPED,200,,,,,,,
174,Aiden Markram,SA,30,BAT/SPIN,57,44,SRH,CAPPED,150,,,,,,,
175,Mitchell Marsh,AUS,33,BAT/SEAM,65,42,DC,CAPPED,150,,,,,,,
176,Nicholas Pooran,WI,29,WK/BAT,106,76,LSG,CAPPED,200,,,,,,,
177,Shamar Joseph,WI,25,SEAM,9,1,LSG,CAPPED,100,,,,,,,
178,David Warner,AUS,38,BAT,110,184,DC,CAPPED,100,,,,,,,
179,Kane Williamson,NZ,34,BAT,93,79,GT,CAPPED,100,,,,,,,
180,Daryl Mitchell,NZ,33,BAT/SEAM,70,15,CSK,CAPPED,75,,,,,,,
181,Alex Carey,AUS,33,WK/BAT,38,3,DC,CAPPED,75,,,,,,,
182,Shai Hope,WI,31,WK/BAT,39,9,DC,CAPPED,75,,,,,,,
183,Keshav Maharaj,SA,34,SPIN,39,2,RR,CAPPED,75,,,,,,,
184,Mujeeb Ur Rahman,AFG,23,SPIN,49,19,KKR,CAPPED,50,,,,,,,
185,Ben Duckett,ENG,30,BAT,17,0,DNP,CAPPED,50,,,,,,,
186,Dewald Brevis,SA,21,BAT,2,10,MI,CAPPED,50,,,,,,,
187,Nandre Burger,SA,29,SEAM,2,5,RR,CAPPED,50,,,,,,,
188,Evin Lewis,WI,33,BAT,61,27,LSG,CAPPED,50,,,,,,,
189,Mohammad Nabi,AFG,40,SPIN/BAT,131,24,MI,CAPPED,75,,,,,,,
190,Litton Das,BAN,30,WK/BAT,95,1,KKR,CAPPED,50,,,,,,,
191,Matt Henry,NZ,33,SEAM,21,6,PBKS,CAPPED,50,,,,,,,
192,Alzarri Joseph,WI,28,SEAM,38,22,RCB,CAPPED,50,,,,,,,
193,Steve Smith,AUS,35,BAT,,,DNP,CAPPED,150,,,,,,,
